Repository Name,Link to Repository,Last update,"Steward Assigned (if yes, list name; if no, write no)","ReadMe Quality (Excellent, Sufficient, Needs Work)",Comments in Code? (yes / no),"Code Cleanliness (Excellent, Sufficient, Needs Work)","Branching History / Merging (Excellent, Sufficient, Needs Work)",NMIND Documentation Level Assignment (Level 1 through Level 5),"NMIND Certification (Bronze, Silver, Gold)"
macaque_bidsapp ,https://gitlab.com/Fair_lab/macaque_bidsapp,Updated 1 year ago,no,,,,,,
macaque_dockerfile ,https://gitlab.com/Fair_lab/macaque_dockerfile,Updated 1 year ago,no,,,,,,
macaque_submission_scripts ,https://gitlab.com/Fair_lab/macaque_submission_scripts,Updated 1 year ago,no,,,,,,
MachineLearning_SVM ,https://gitlab.com/ascario/MachineLearning_SVM,Updated 2 years ago,Oscar,,,,,,
make_euclidean_from_label ,https://gitlab.com/Fair_lab/make_euclidean_from_label,Updated 1 year ago,no,,,,,,
make_parcellated_thickness ,https://gitlab.com/Fair_lab/make_parcellated_thickness,Updated 1 year ago,no,,,,,,
Makeing python pip installable,https://gitlab.com/Fair_lab/makeing-python-pip-installable,Updated 1 year ago,no,,,,,,
Making Python Package Pip Installable,https://gitlab.com/Fair_lab/making-python-package-pip-installable,Updated 1 year ago,no,,,,,,
MarginalModelCIFTI ,https://gitlab.com/Fair_lab/marginalmodelcifti,Updated 2 days ago,Fez,,,,,,
mastergui ,https://gitlab.com/Fair_lab/mastergui,Updated 1 year ago,no,,,,,,
MIDB Precision Functional Atas,https://gitlab.com/Fair_lab/midb-precision-functional-atas,Updated 7 months ago,no,Needs Work,yes,Excellent,,,
Migration ,https://gitlab.com/Fair_lab/Migration,Updated 1 year ago,no,,,,,,
Mirror dscalar,https://gitlab.com/Fair_lab/mirror-dscalar,Updated 4 months ago,no,,,,,,
movement_regressors_power_plots,https://gitlab.com/Fair_lab/movement_regressors_power_plots,Updated 1 year ago,Oscar,,,,,,
NDA BIDS Upload Prepare,https://gitlab.com/Fair_lab/nda-bids-upload-prepare,Updated 1 week ago,no,,,,,,
NDA S3 Data Grinder,https://gitlab.com/Fair_lab/nda-s3-data-grinder,Updated 1 year ago,no,,,,,,
NDA_read_the_docs ,https://gitlab.com/Fair_lab/nda_read_the_docs,Updated 11 months ago,no,,,,,,
nda_upload_correction ,https://gitlab.com/Fair_lab/nda_upload_correction,Updated 1 year ago,no,,,,,,
NDAR_converter ,https://gitlab.com/Fair_lab/NDAR_converter,Updated 1 year ago,no,,,,,,
